Date,SPX,TPX,SX5E
2021/4/20,4134.94,1959.47,4013.34
2021/4/19,4163.26,1951.86,4014.8
2021/4/16,4185.47,1967.43,3976.41
2021/4/15,4170.42,1954.34,3940.46
2021/4/14,4124.66,1983.54,4019.91
2021/4/13,4141.59,1971.62,4032.99
2021/4/12,4127.99,1957.64,3993.43
2021/4/9,4128.8,1954,3976.28
2021/4/8,4097.17,1977.86,3966.99
2021/4/7,4079.95,1993.34,3961.9
2021/4/6,4073.94,1984.16,3978.84
2021/4/5,4077.91,1955.55,3977.83
2021/4/1,4019.87,1928.58,3956.77
2021/3/31,3972.89,1971.48,3970.42
2021/3/30,3958.55,1990.18,3945.96
2021/3/29,3971.09,2012.21,3919.21
2021/3/26,3974.54,2008.51,3926.2
2021/3/25,3909.52,1984.03,3882.87
2021/3/24,3889.14,1981.5,3866.68
2021/3/23,3910.52,1968.73,3832.57
2021/3/22,3940.59,1951.06,3832.55
2021/3/19,3913.1,1924.92,3827.02
2021/3/18,3915.46,1919.74,3833.84
2021/3/17,3974.12,1917.68,3837.02
2021/3/16,3962.71,1893.58,3867.54
2021/3/15,3968.94,1896.18,3849.74
2021/3/12,3943.34,1884.74,3850.96
2021/3/11,3939.34,1904.54,3829.84
2021/3/10,3898.81,1894.85,3833.36
2021/3/9,3875.44,1902.48,3845.64
2021/3/8,3821.35,1864.49,3819.92
2021/3/5,3841.94,1926.23,3786.05
2021/3/4,3768.47,1903.07,3763.24
2021/3/3,3819.72,1938.35,3669.54
2021/3/2,3870.29,1928.95,3704.85
2021/3/1,3901.82,1941.91,3712.78
2021/2/26,3811.15,1961.49,3707.72
2021/2/25,3829.34,1965.08,3706.62
2021/2/24,3925.43,1953.94,3636.44
2021/2/23,3881.37,1933.88,3685.28
2021/2/22,3876.5,1930.82,3705.99
2021/2/19,3906.71,1925.54,3689.1
2021/2/18,3913.97,1923.95,3699.85
2021/2/17,3931.33,1890.95,3713.46
2021/2/16,3932.59,1865.12,3681.04
2021/2/12,3934.83,1871.09,3699.85
2021/2/11,3916.38,1847.02,3726.4
2021/2/10,3909.88,1829.84,3734.2
2021/2/9,3911.23,1808.78,3695.61
2021/2/8,3915.59,1838.85,3671.68
2021/2/5,3886.83,1860.07,3648.37
2021/2/4,3871.74,1848,3661.13
2021/2/3,3830.17,1862,3665.51
2021/2/2,3826.31,1856.64,3655.77
2021/2/1,3773.86,1860.64,3642.12
2021/1/29,3714.24,1849.58,3609.75
2021/1/28,3787.38,1855.84,3590.46
2021/1/27,3750.77,1845.49,3530.85
2021/1/26,3849.62,1856.61,3481.44
2021/1/25,3855.36,1873.28,3557.04
2021/1/22,3841.47,1864.4,3536.38
2021/1/21,3853.07,1857.94,3592.83
2021/1/20,3851.85,1854.94,3553.14
2021/1/19,3798.91,1826.3,3602.41
2021/1/15,3768.25,1796.18,3618.35
2021/1/14,3795.54,1791.22,3624.04
2021/1/13,3809.84,1794.59,3595.42
2021/1/12,3801.19,1804.68,3602.67
2021/1/11,3799.61,1819.18,3599.55
2021/1/8,3824.68,1788.04,3641.37
2021/1/7,3803.79,1778.41,3616.51
2021/1/6,3748.14,1774.27,3612.13
2021/1/5,3726.86,1765.21,3620.62
2021/1/4,3700.65,1761.12,3645.05
2020/12/31,3756.07,1789.05,3622.42
2020/12/30,3732.04,1793.24,3611.08
2020/12/29,3727.04,1792.58,3547.85
2020/12/28,3735.36,1786.83,3564.39
2020/12/24,3703.06,1782.05,3552.64
2020/12/23,3690.01,1790.52,3571.59
2020/12/22,3687.26,1782.01,3581.37
2020/12/21,3694.92,1776.21,3575.41
2020/12/18,3709.41,1779.42,3543.28
2020/12/17,3722.48,1758.81,3539.26
2020/12/16,3701.17,1760.75,3497.49
2020/12/15,3694.62,1775.94,3448.68
