,Date,SX5E,Value
108,1990/6/7,-1.9753517985152713,-0.044806898
109,1990/6/8,-1.973460466536109,-0.044841558
110,1990/6/11,-1.9725830444839205,-0.044945627
111,1990/6/12,-1.9256799612274844,-0.044980362
112,1990/6/13,-1.9323093722884648,-0.045015037
113,1990/6/14,-1.940059933749464,-0.045049727
114,1990/6/15,-1.9458996649634746,-0.04508443
115,1990/6/18,-1.9544399062714435,-0.04518847
116,1990/6/19,-1.9426044577008106,-0.04522322
117,1990/6/20,-1.9371254444415889,-0.04525788
118,1990/6/21,-1.9363552628624454,-0.04529254
119,1990/6/22,-1.941190833283396,-0.04532723
120,1990/6/25,-1.9278637672240426,-0.045431286
121,1990/6/26,-1.9234181621596205,-0.045465946
122,1990/6/27,-1.9235059043648395,-0.04550065
123,1990/6/28,-1.9177246679543078,-0.04553534
124,1990/6/29,-1.9119239332759501,-0.04556997
125,1990/7/2,-1.9146244433699084,-0.04567401
126,1990/7/3,-1.9058307245801962,-0.0457087
127,1990/7/5,-1.8962960716130801,-0.04577802
128,1990/7/6,-1.8814188932615272,-0.04581271
129,1990/7/9,-1.887180631404232,-0.045916647
130,1990/7/10,-1.8795958052197577,-0.04595135
131,1990/7/11,-1.8737463248718338,-0.045985997
132,1990/7/12,-1.8619791202385936,-0.046020642
133,1990/7/13,-1.8462050215670256,-0.046055347
134,1990/7/16,-1.840277548147796,-0.046159327
135,1990/7/17,-1.8506018809618816,-0.046193942
136,1990/7/18,-1.8482230922870593,-0.046228543
137,1990/7/19,-1.8375575397860113,-0.046263263
138,1990/7/20,-1.8264142797232166,-0.046297878
139,1990/7/23,-1.8442161982487315,-0.046401814
140,1990/7/24,-1.8411549701999845,-0.046436444
141,1990/7/25,-1.838152236954717,-0.046471074
142,1990/7/26,-1.8483205836261913,-0.046505764
143,1990/7/27,-1.8411549701999845,-0.046540365
144,1990/7/30,-1.833531147479857,-0.04664427
145,1990/7/31,-1.8157779746239084,-0.046678886
146,1990/8/1,-1.8143643502064932,-0.0467135
147,1990/8/2,-1.8074717125298563,-0.046748176
148,1990/8/3,-1.8180105262900326,-0.046782777
149,1990/8/6,-1.817796045343942,-0.046886623
150,1990/8/7,-1.8284615978449896,-0.046921283
151,1990/8/8,-1.8119758123977578,-0.0469559
152,1990/8/9,-1.8156707341508629,-0.0469905
153,1990/8/10,-1.818936694011787,-0.047025114
154,1990/8/13,-1.824834920029277,-0.04712893
155,1990/8/14,-1.8327902133024534,-0.04716356
156,1990/8/15,-1.8271649630345332,-0.04719813
157,1990/8/16,-1.8307623934485067,-0.047232732
158,1990/8/17,-1.8277889076049785,-0.047267333
159,1990/8/20,-1.8307331460467668,-0.047371104
160,1990/8/21,-1.8266092624014805,-0.04740575
161,1990/8/22,-1.816041201239565,-0.047440335
162,1990/8/23,-1.8158754659630403,-0.04747492
163,1990/8/24,-1.8093532953751053,-0.047509477
164,1990/8/27,-1.812365777754286,-0.047613263
165,1990/8/28,-1.799613910595812,-0.047647834
166,1990/8/29,-1.8023339189575964,-0.047682434
167,1990/8/30,-1.796162717190537,-0.04771702
168,1990/8/31,-1.8031430970723927,-0.04775159
169,1990/9/4,-1.7990874573644988,-0.047889844
170,1990/9/5,-1.809304549705539,-0.0479244
171,1990/9/6,-1.8030748531350003,-0.047958955
172,1990/9/7,-1.7972546201888162,-0.04799354
173,1990/9/10,-1.792380053232213,-0.048097238
174,1990/9/11,-1.796552682547065,-0.048089683
175,1990/9/12,-1.7859846213851494,-0.04804258
176,1990/9/13,-1.785818886108625,-0.047995582
177,1990/9/14,-1.791161411493062,-0.047948435
178,1990/9/17,-1.802928616126302,-0.04780738
179,1990/9/18,-1.7938326741852804,-0.047760323
180,1990/9/19,-1.7917073629922016,-0.047713324
181,1990/9/20,-1.7851071993329608,-0.047666267
182,1990/9/21,-1.7999063846132082,-0.04761927
183,1990/9/24,-1.7916878647243752,-0.047478333
184,1990/9/25,-1.7963771981366274,-0.047431335
185,1990/9/26,-1.7937839285157144,-0.04738438
186,1990/9/27,-1.7815487654546405,-0.047337398
