t,H=0.9,H=0.8,H=0.7
0.127,0.990977685,0.997649204,1.007774857
0.128,0.991187854,0.998434539,1.007753698
0.129,0.99142612,0.998419558,1.008412521
0.13,0.991487004,0.999465034,1.008610154
0.131,0.991598512,1.000582841,1.009187365
0.132,0.991710526,1.001202194,1.008516803
0.133,0.991718196,1.002236265,1.009499499
0.134,0.991847007,1.003552221,1.009647147
0.135,0.992109292,1.004050224,1.010498086
0.136,0.99246322,1.004380979,1.011023508
0.137,0.992646819,1.004145179,1.010752072
0.138,0.993020797,1.004093732,1.010528161
0.139,0.99307632,1.00385026,1.009623693
0.14,0.993425648,1.003309609,1.009635323
0.141,0.993884215,1.004011862,1.009496333
0.142,0.994371915,1.004880343,1.008590842
0.143,0.994506626,1.005411765,1.009093118
0.144,0.994645338,1.005909503,1.00773708
0.145,0.994783756,1.006099153,1.008401147
0.146,0.994838041,1.005802888,1.008804505
0.147,0.995174467,1.005693689,1.008132149
0.148,0.995321925,1.006420094,1.009149698
0.149,0.995423651,1.006728194,1.009450615
0.15,0.99573333,1.007248036,1.010018779
0.151,0.995833096,1.007814079,1.009809696
0.152,0.995974217,1.008637019,1.010482456
0.153,0.996056368,1.008608314,1.010786094
0.154,0.996135008,1.008348542,1.010096545
0.155,0.996128732,1.0081488,1.009785966
0.156,0.996122947,1.0086125,1.009382808
0.157,0.996315221,1.009098916,1.008688926
0.158,0.996569164,1.00903713,1.008579877
0.159,0.996559608,1.009460984,1.008906482
0.16,0.99649055,1.010064634,1.0080908
0.161,0.996549226,1.010134482,1.006952997
0.162,0.996673326,1.010166645,1.007171505
0.163,0.996623653,1.010215343,1.007744133
0.164,0.996665069,1.009928214,1.007916437
0.165,0.996617054,1.009770942,1.009725874
0.166,0.996428627,1.009123947,1.009098105
0.167,0.996431501,1.009286157,1.008460496
0.168,0.996344633,1.009413959,1.008874338
0.169,0.996223854,1.009243158,1.00902464
0.17,0.996145821,1.009513127,1.009160551
0.171,0.996320159,1.00990308,1.009559816
0.172,0.996504592,1.010106019,1.009519493
0.173,0.996713125,1.010246929,1.0089869
0.174,0.996812308,1.00962576,1.009471153
0.175,0.996727631,1.009500235,1.007864457
0.176,0.996847414,1.009521119,1.007927261
0.177,0.997096233,1.009379229,1.006664732
0.178,0.997050651,1.009193817,1.006719645
0.179,0.996749426,1.009257544,1.006659921
0.18,0.996758692,1.009231726,1.005943573
0.181,0.99681952,1.009236271,1.006004693
0.182,0.997008162,1.008830212,1.005052758
0.183,0.997210864,1.008794241,1.005687109
0.184,0.997409827,1.007986502,1.005267419
0.185,0.997375883,1.007515706,1.005331854
0.186,0.997363972,1.00700164,1.004647472
0.187,0.99734708,1.006279665,1.004386626
0.188,0.997555684,1.005698851,1.002653912
0.189,0.99780596,1.005642471,1.003270382
0.19,0.99806695,1.005801254,1.003221168
0.191,0.998335151,1.005843802,1.002526643
0.192,0.998348613,1.0060425,1.001726784
0.193,0.998350753,1.005887929,1.002093786
0.194,0.998235266,1.006222111,1.002378221
0.195,0.998115326,1.0064154,1.002487675
0.196,0.998038492,1.006617516,1.002450015
0.197,0.998070866,1.007082752,1.001738367
0.198,0.998035227,1.007381236,1.000999214
0.199,0.997945139,1.007888193,0.999510711
0.2,0.997870977,1.00816973,0.99986308
0.201,0.997760454,1.008496125,1.00026406
0.202,0.997613579,1.008525169,1.000744893
0.203,0.997464135,1.008442976,1.00037404
0.204,0.997408738,1.008666293,1.00199418
0.205,0.997251765,1.008996708,1.002473479
0.206,0.997197258,1.009306765,1.002308136
0.207,0.997132742,1.009602037,1.001733152
0.208,0.996974443,1.009690416,1.001572232
0.209,0.996729019,1.010066963,1.001926531
0.21,0.996485571,1.010340349,1.002892925
0.211,0.996110248,1.010624806,1.003606407
0.212,0.995768692,1.011347469,1.00349556
0.213,0.995690525,1.011745893,1.003648492
0.214,0.995610411,1.012589451,1.003431546
0.215,0.995448222,1.013056889,1.003500015
0.216,0.995351577,1.013424839,1.002721047
0.217,0.995351755,1.013098546,1.001760089
0.218,0.995033815,1.012660064,1.002827242
0.219,0.994776379,1.011890281,1.003040947
0.22,0.994720909,1.011751788,1.002356731
0.221,0.994598364,1.011461859,1.002118772
0.222,0.994466581,1.011543847,1.002073487
0.223,0.994098744,1.011485816,1.000812306
0.224,0.993888955,1.011295107,1.001327616
0.225,0.993677487,1.011150996,1.000785326
0.226,0.993413695,1.011544539,1.000840111
0.227,0.993456277,1.011842111,1.001739418
0.228,0.993275606,1.011419993,1.001532401
0.229,0.993296568,1.011579132,1.000701586
0.23,0.993183294,1.011961032,1.000144737
0.231,0.993020501,1.012214711,0.999690389
